Season,wOBA,Name,Team,PA,playerid
1955,0.307,Andy Carey,Yankees,570,1001943
1956,0.293,Andy Carey,Yankees,480,1001943
1928,0.331,Andy Cohen,Giants,548,1002400
1998,0.338,Andy Fox,Diamondbacks,564,1379
1924,0.390,Andy High,Robins,654,1005795
1922,0.350,Andy High,Robins,659,1005795
1926,0.346,Andy High,Braves,533,1005795
1923,0.344,Andy High,Robins,489,1005795
1929,0.343,Andy High,Cardinals,659,1005795
2009,0.324,Andy LaRoche,Pirates,590,6444
1872,0.350,Andy Leonard,Red Stockings,240,1007530
1873,0.330,Andy Leonard,Red Stockings,306,1007530
1874,0.327,Andy Leonard,Red Stockings,341,1007530
1875,0.327,Andy Leonard,Red Stockings,398,1007530
1871,0.308,Andy Leonard,Olympics,151,1007530
1876,0.286,Andy Leonard,Red Caps,307,1007530
1877,0.283,Andy Leonard,Red Caps,277,1007530
1878,0.275,Andy Leonard,Red Caps,265,1007530
1950,0.437,Andy Pafko,Cubs,595,1009948
1948,0.408,Andy Pafko,Cubs,606,1009948
1945,0.384,Andy Pafko,Cubs,608,1009948
1951,0.384,Andy Pafko,- - -,519,1009948
1949,0.381,Andy Pafko,Cubs,592,1009948
1952,0.374,Andy Pafko,Dodgers,624,1009948
1947,0.368,Andy Pafko,Cubs,550,1009948
1953,0.362,Andy Pafko,Braves,568,1009948
1954,0.346,Andy Pafko,Braves,570,1009948
1944,0.316,Andy Pafko,Cubs,512,1009948
1992,0.393,Andy Van Slyke,Pirates,686,1013363
1988,0.372,Andy Van Slyke,Pirates,660,1013363
1987,0.371,Andy Van Slyke,Pirates,632,1013363
1990,0.371,Andy Van Slyke,Pirates,569,1013363
1991,0.357,Andy Van Slyke,Pirates,577,1013363
1994,0.311,Andy Van Slyke,Pirates,431,1013363
1989,0.306,Andy Van Slyke,Pirates,532,1013363
2003,0.340,Angel Berroa,Royals,635,591
2004,0.304,Angel Berroa,Royals,554,591
2005,0.298,Angel Berroa,Royals,652,591
2006,0.257,Angel Berroa,Royals,503,591
2010,0.334,Angel Pagan,Mets,633,2918
2012,0.334,Angel Pagan,Giants,659,2918
2016,0.324,Angel Pagan,Giants,543,2918
2011,0.306,Angel Pagan,Mets,532,2918
2015,0.280,Angel Pagan,Giants,551,2918
2015,0.304,Anthony Gose,Tigers,535,5097
2017,0.394,Anthony Rendon,Nationals,605,12861
2018,0.383,Anthony Rendon,Nationals,597,12861
2014,0.361,Anthony Rendon,Nationals,683,12861
2016,0.342,Anthony Rendon,Nationals,647,12861
2014,0.397,Anthony Rizzo,Cubs,616,3473
2016,0.391,Anthony Rizzo,Cubs,676,3473
2015,0.384,Anthony Rizzo,Cubs,701,3473
2017,0.380,Anthony Rizzo,Cubs,691,3473
2018,0.359,Anthony Rizzo,Cubs,665,3473
2013,0.325,Anthony Rizzo,Cubs,690,3473
2004,0.398,Aramis Ramirez,Cubs,606,1002
2005,0.392,Aramis Ramirez,Cubs,506,1002
2007,0.386,Aramis Ramirez,Cubs,558,1002
2008,0.386,Aramis Ramirez,Cubs,645,1002
2012,0.384,Aramis Ramirez,Brewers,630,1002
2006,0.381,Aramis Ramirez,Cubs,660,1002
2011,0.375,Aramis Ramirez,Cubs,626,1002
2001,0.374,Aramis Ramirez,Pirates,655,1002
2003,0.337,Aramis Ramirez,- - -,670,1002
2014,0.334,Aramis Ramirez,Brewers,531,1002
2010,0.322,Aramis Ramirez,Cubs,507,1002
2015,0.309,Aramis Ramirez,- - -,516,1002
2002,0.287,Aramis Ramirez,Pirates,570,1002
1935,0.493,Arky Vaughan,Pirates,610,1013377
1936,0.432,Arky Vaughan,Pirates,701,1013377
1934,0.430,Arky Vaughan,Pirates,660,1013377
1938,0.411,Arky Vaughan,Pirates,650,1013377
1933,0.398,Arky Vaughan,Pirates,655,1013377
1937,0.393,Arky Vaughan,Pirates,531,1013377
1940,0.387,Arky Vaughan,Pirates,689,1013377
1939,0.376,Arky Vaughan,Pirates,693,1013377
1943,0.374,Arky Vaughan,Dodgers,685,1013377
1932,0.362,Arky Vaughan,Pirates,555,1013377
1942,0.333,Arky Vaughan,Dodgers,558,1013377
1894,0.380,Arlie Latham,Reds,593,1007371
1891,0.372,Arlie Latham,Reds,618,1007371
1887,0.365,Arlie Latham,Browns,677,1007371
1895,0.364,Arlie Latham,Reds,514,1007371
1893,0.356,Arlie Latham,Reds,603,1007371
1886,0.355,Arlie Latham,Browns,639,1007371
1890,0.315,Arlie Latham,- - -,427,1007371
1888,0.313,Arlie Latham,Browns,621,1007371
1884,0.310,Arlie Latham,Browns,498,1007371
1889,0.307,Arlie Latham,Browns,565,1007371
1892,0.297,Arlie Latham,Reds,687,1007371
1883,0.261,Arlie Latham,Browns,424,1007371
1885,0.236,Arlie Latham,Browns,508,1007371
1916,0.308,Armando Marsans,Browns,614,1008131
1912,0.313,Arnold Hauser,Cardinals,542,1005501
1911,0.289,Arnold Hauser,Cardinals,576,1005501
1873,0.312,Art Allison,Resolutes,99,1000164
1871,0.308,Art Allison,Forest Citys,139,1000164
1872,0.265,Art Allison,Forest Citys,87,1000164
1875,0.233,Art Allison,- - -,288,1000164
1915,0.310,Art Butler,Cardinals,533,1001769
1877,0.234,Art Croft,Brown Stockings,221,1002783
1875,0.201,Art Croft,Red Stockings,75,1002783
1878,0.171,Art Croft,Blues,227,1002783
1906,0.386,Art Devlin,Giants,591,1003248
1912,0.357,Art Devlin,Braves,498,1003248
1904,0.353,Art Devlin,Giants,562,1003248
1907,0.352,Art Devlin,Giants,605,1003248
1909,0.348,Art Devlin,Giants,584,1003248
1910,0.339,Art Devlin,Giants,592,1003248
1908,0.329,Art Devlin,Giants,629,1003248
1905,0.326,Art Devlin,Giants,616,1003248
1913,0.353,Art Fletcher,Giants,594,1004149
1914,0.342,Art Fletcher,Giants,569,1004149
1916,0.340,Art Fletcher,Giants,542,1004149
1920,0.332,Art Fletcher,- - -,594,1004149
1917,0.320,Art Fletcher,Giants,608,1004149
1919,0.311,Art Fletcher,Giants,516,1004149
1918,0.309,Art Fletcher,Giants,513,1004149
1915,0.293,Art Fletcher,Giants,599,1004149
1981,0.347,Art Howe,Astros,406,1006092
1914,0.320,Art Kruger,Packers,479,1007180
1940,0.287,Art Mahan,Phillies,591,1007982
1912,0.313,Art Phelan,Reds,526,1010272
1915,0.303,Art Phelan,Cubs,523,1010272
1933,0.249,Art Scharein,Browns,522,1011523
1887,0.321,Art Whitney,Alleghenys,488,1013906
1890,0.301,Art Whitney,Giants,509,1013906
1886,0.294,Art Whitney,Alleghenys,568,1013906
1889,0.284,Art Whitney,Giants,531,1013906
1885,0.259,Art Whitney,Alleghenys,390,1013906
1891,0.256,Art Whitney,- - -,393,1013906
1880,0.251,Art Whitney,Ruby Legs,311,1013906
1914,0.412,Art Wilson,Chi-Feds,530,1014059
1890,0.344,Arthur Irwin,Reds,412,1006276
1887,0.333,Arthur Irwin,Quakers,425,1006276
1883,0.307,Arthur Irwin,Grays,418,1006276
1889,0.305,Arthur Irwin,- - -,435,1006276
1880,0.284,Arthur Irwin,Ruby Legs,363,1006276
1886,0.283,Arthur Irwin,Quakers,408,1006276
1884,0.278,Arthur Irwin,Grays,432,1006276
1888,0.262,Arthur Irwin,Quakers,484,1006276
1882,0.244,Arthur Irwin,Ruby Legs,347,1006276
1890,0.289,Artie Clarke,Giants,431,1002264
1872,0.314,Asa Brainard,- - -,69,1001334
1871,0.247,Asa Brainard,Olympics,141,1001334
1874,0.235,Asa Brainard,Canaries,198,1001334
2009,0.351,Asdrubal Cabrera,Indians,581,4962
2016,0.345,Asdrubal Cabrera,Mets,568,4962
2011,0.344,Asdrubal Cabrera,Indians,667,4962
2017,0.338,Asdrubal Cabrera,Mets,540,4962
2012,0.332,Asdrubal Cabrera,Indians,616,4962
2018,0.332,Asdrubal Cabrera,- - -,592,4962
2015,0.319,Asdrubal Cabrera,Rays,551,4962
2014,0.308,Asdrubal Cabrera,- - -,616,4962
2013,0.307,Asdrubal Cabrera,Indians,562,4962
2008,0.387,Aubrey Huff,Orioles,661,1213
2010,0.387,Aubrey Huff,Giants,668,1213
2003,0.384,Aubrey Huff,Devil Rays,706,1213
2004,0.364,Aubrey Huff,Devil Rays,667,1213
2006,0.346,Aubrey Huff,- - -,517,1213
2007,0.339,Aubrey Huff,Orioles,603,1213
2005,0.318,Aubrey Huff,Devil Rays,636,1213
2009,0.303,Aubrey Huff,- - -,597,1213
2011,0.295,Aubrey Huff,Giants,579,1213
1944,0.431,Augie Galan,Dodgers,654,1004440
1945,0.413,Augie Galan,Dodgers,696,1004440
1947,0.413,Augie Galan,Reds,491,1004440
1935,0.398,Augie Galan,Cubs,748,1004440
1943,0.397,Augie Galan,Dodgers,604,1004440
1939,0.383,Augie Galan,Cubs,641,1004440
1937,0.346,Augie Galan,Cubs,695,1004440
1936,0.335,Augie Galan,Cubs,649,1004440
1970,0.319,Aurelio Rodriguez,- - -,663,1011100
1971,0.308,Aurelio Rodriguez,Tigers,639,1011100
1975,0.306,Aurelio Rodriguez,Tigers,547,1011100
1972,0.285,Aurelio Rodriguez,Tigers,639,1011100
1973,0.273,Aurelio Rodriguez,Tigers,599,1011100
1976,0.271,Aurelio Rodriguez,Tigers,514,1011100
1969,0.258,Aurelio Rodriguez,Angels,606,1011100
1974,0.257,Aurelio Rodriguez,Tigers,609,1011100
2012,0.371,Austin Jackson,Tigers,617,9848
2013,0.332,Austin Jackson,Tigers,614,9848
2010,0.329,Austin Jackson,Tigers,675,9848
2011,0.305,Austin Jackson,Tigers,668,9848
2015,0.305,Austin Jackson,- - -,527,9848
2014,0.292,Austin Jackson,- - -,656,9848
2006,0.358,Austin Kearns,- - -,629,332
2007,0.338,Austin Kearns,Nationals,674,332
1921,0.418,Austin McHenry,Cardinals,628,1008564
1920,0.343,Austin McHenry,Cardinals,542,1008564
2017,0.375,Avisail Garcia,White Sox,561,5760
2015,0.295,Avisail Garcia,White Sox,601,5760
1995,0.379,B.J. Surhoff,Brewers,462,117
1999,0.361,B.J. Surhoff,Orioles,727,117
1996,0.358,B.J. Surhoff,Orioles,590,117
2000,0.343,B.J. Surhoff,- - -,587,117
1997,0.341,B.J. Surhoff,Orioles,595,117
1998,0.337,B.J. Surhoff,Orioles,634,117
1990,0.316,B.J. Surhoff,Brewers,530,117
1993,0.313,B.J. Surhoff,Brewers,599,117
2001,0.311,B.J. Surhoff,Braves,531,117
1991,0.309,B.J. Surhoff,Brewers,553,117
1992,0.287,B.J. Surhoff,Brewers,543,117
1988,0.272,B.J. Surhoff,Brewers,541,117
1915,0.384,Babe Borton,Terriers,668,1001209
1941,0.370,Babe Dahlgren,- - -,586,1002925
1944,0.360,Babe Dahlgren,Pirates,659,1002925
1943,0.346,Babe Dahlgren,Blue Jays,565,1002925
1935,0.338,Babe Dahlgren,Red Sox,596,1002925
1940,0.326,Babe Dahlgren,Yankees,622,1002925
1945,0.323,Babe Dahlgren,Pirates,591,1002925
1939,0.320,Babe Dahlgren,Yankees,603,1002925
1930,0.487,Babe Herman,Robins,699,1005691
1929,0.463,Babe Herman,Robins,637,1005691
1932,0.413,Babe Herman,Reds,642,1005691
1928,0.410,Babe Herman,Robins,542,1005691
1926,0.401,Babe Herman,Robins,554,1005691
1931,0.399,Babe Herman,Robins,661,1005691
1933,0.388,Babe Herman,Cubs,565,1005691
1934,0.379,Babe Herman,Cubs,507,1005691
1922,0.349,Babe Pinelli,Reds,622,1010355
1924,0.339,Babe Pinelli,Reds,580,1010355
1925,0.322,Babe Pinelli,Reds,550,1010355
1920,0.598,Babe Ruth,Yankees,615,1011327
1921,0.575,Babe Ruth,Yankees,693,1011327
1923,0.571,Babe Ruth,Yankees,699,1011327
1926,0.551,Babe Ruth,Yankees,652,1011327
1924,0.549,Babe Ruth,Yankees,681,1011327
1927,0.545,Babe Ruth,Yankees,691,1011327
1931,0.525,Babe Ruth,Yankees,663,1011327
1930,0.517,Babe Ruth,Yankees,676,1011327
1928,0.510,Babe Ruth,Yankees,684,1011327
1919,0.509,Babe Ruth,Red Sox,542,1011327
1932,0.501,Babe Ruth,Yankees,589,1011327
1929,0.486,Babe Ruth,Yankees,587,1011327
1922,0.484,Babe Ruth,Yankees,495,1011327
1933,0.462,Babe Ruth,Yankees,575,1011327
1941,0.372,Babe Young,Giants,649,1014363
1940,0.370,Babe Young,Giants,632,1014363
1920,0.419,Baby Doll Jacobson,Browns,673,1006316
1925,0.410,Baby Doll Jacobson,Browns,602,1006316
1921,0.404,Baby Doll Jacobson,Browns,663,1006316
1924,0.402,Baby Doll Jacobson,Browns,642,1006316
1922,0.387,Baby Doll Jacobson,Browns,629,1006316
1919,0.384,Baby Doll Jacobson,Browns,492,1006316
1926,0.356,Baby Doll Jacobson,- - -,635,1006316
1923,0.354,Baby Doll Jacobson,Browns,643,1006316
1917,0.309,Baby Doll Jacobson,Browns,572,1006316
1980,0.351,Bake McBride,Phillies,593,1008340
1974,0.348,Bake McBride,Cardinals,625,1008340
1979,0.328,Bake McBride,Phillies,637,1008340
1978,0.319,Bake McBride,Phillies,510,1008340
1914,0.384,Baldy Louden,Buffeds,504,1007766
1915,0.363,Baldy Louden,Blues,557,1007766
1912,0.327,Baldy Louden,Tigers,489,1007766
1916,0.297,Baldy Louden,Reds,503,1007766
1940,0.331,Bama Rowell,Bees,508,1011257
1941,0.329,Bama Rowell,Braves,524,1011257
1940,0.407,Barney McCosky,Tigers,660,1008422
1941,0.388,Barney McCosky,Tigers,565,1008422
1948,0.378,Barney McCosky,Athletics,605,1008422
1939,0.377,Barney McCosky,Tigers,692,1008422
1947,0.375,Barney McCosky,Athletics,616,1008422
1942,0.369,Barney McCosky,Tigers,680,1008422
2002,0.544,Barry Bonds,Giants,612,1109
2004,0.537,Barry Bonds,Giants,617,1109
2001,0.537,Barry Bonds,Giants,664,1109
2003,0.503,Barry Bonds,Giants,550,1109
1993,0.467,Barry Bonds,Giants,674,1109
1992,0.459,Barry Bonds,Pirates,612,1109
2000,0.456,Barry Bonds,Giants,607,1109
1996,0.446,Barry Bonds,Giants,675,1109
1994,0.442,Barry Bonds,Giants,474,1109
1998,0.434,Barry Bonds,Giants,697,1109
1997,0.430,Barry Bonds,Giants,690,1109
1995,0.425,Barry Bonds,Giants,635,1109
1990,0.420,Barry Bonds,Pirates,621,1109
1991,0.396,Barry Bonds,Pirates,634,1109
1988,0.376,Barry Bonds,Pirates,614,1109
1987,0.351,Barry Bonds,Pirates,611,1109
1989,0.341,Barry Bonds,Pirates,679,1109
1980,0.330,Barry Bonnell,Blue Jays,509,1001171
1996,0.417,Barry Larkin,Reds,627,335
1991,0.393,Barry Larkin,Reds,527,335
1998,0.391,Barry Larkin,Reds,626,335
1995,0.389,Barry Larkin,Reds,567,335
1992,0.371,Barry Larkin,Reds,609,335
1999,0.362,Barry Larkin,Reds,687,335
1994,0.349,Barry Larkin,Reds,501,335
1988,0.347,Barry Larkin,Reds,652,335
1990,0.341,Barry Larkin,Reds,681,335
2002,0.290,Barry Larkin,Reds,567,335
1897,0.323,Barry McCormick,Colts,458,1008410
1898,0.313,Barry McCormick,Orphans,594,1008410
1902,0.299,Barry McCormick,Browns,562,1008410
1901,0.284,Barry McCormick,Orphans,463,1008410
1903,0.264,Barry McCormick,- - -,459,1008410
1914,0.390,Beals Becker,Phillies,561,1000740
1909,0.312,Beals Becker,Doves,645,1000740
1936,0.412,Beau Bell,Browns,683,1000797
1937,0.407,Beau Bell,Browns,699,1000797
1938,0.354,Beau Bell,Browns,599,1000797
1940,0.323,Beau Bell,Indians,482,1000797
1929,0.330,Beauty McGowan,Browns,524,1008538
2005,0.327,Ben Broussard,Indians,505,312
1938,0.418,Ben Chapman,Red Sox,553,1002141
1936,0.405,Ben Chapman,- - -,628,1002141
1931,0.403,Ben Chapman,Yankees,686,1002141
1933,0.387,Ben Chapman,Yankees,651,1002141
1932,0.385,Ben Chapman,Yankees,662,1002141
1937,0.381,Ben Chapman,- - -,643,1002141
1930,0.377,Ben Chapman,Yankees,564,1002141
1939,0.376,Ben Chapman,Indians,654,1002141
1934,0.370,Ben Chapman,Yankees,666,1002141
1935,0.364,Ben Chapman,Yankees,629,1002141
1940,0.363,Ben Chapman,Indians,631,1002141
1890,0.246,Ben Conroy,Athletics,454,1002540
2001,0.308,Ben Davis,Padres,526,1074
2017,0.315,Ben Gamel,Mariners,550,12160
1998,0.373,Ben Grieve,Athletics,678,1209
1999,0.366,Ben Grieve,Athletics,558,1209
2000,0.365,Ben Grieve,Athletics,675,1209
2002,0.344,Ben Grieve,Devil Rays,561,1209
2001,0.340,Ben Grieve,Devil Rays,639,1209
1905,0.284,Ben Koehler,Browns,585,1007073
1980,0.396,Ben Oglivie,Brewers,660,1009746
1978,0.383,Ben Oglivie,Brewers,527,1009746
1979,0.373,Ben Oglivie,Brewers,572,1009746
1982,0.342,Ben Oglivie,Brewers,677,1009746
1984,0.319,Ben Oglivie,Brewers,509,1009746
1981,0.314,Ben Oglivie,Brewers,452,1009746
2015,0.316,Ben Revere,- - -,634,4712
2014,0.304,Ben Revere,Phillies,626,4712
2012,0.300,Ben Revere,Twins,553,4712
2009,0.407,Ben Zobrist,Rays,599,7435
2012,0.365,Ben Zobrist,Rays,668,7435
2016,0.360,Ben Zobrist,Cubs,631,7435
2011,0.359,Ben Zobrist,Rays,674,7435
2018,0.355,Ben Zobrist,Cubs,520,7435
2015,0.349,Ben Zobrist,- - -,535,7435
2013,0.334,Ben Zobrist,Rays,698,7435
2014,0.333,Ben Zobrist,Rays,654,7435
2010,0.317,Ben Zobrist,Rays,655,7435
2008,0.329,Bengie Molina,Giants,569,24
2000,0.322,Bengie Molina,Angels,513,24
2007,0.315,Bengie Molina,Giants,517,24
2009,0.308,Bengie Molina,Giants,520,24
1996,0.354,Benito Santiago,Phillies,533,1130
1987,0.340,Benito Santiago,Padres,572,1130
1994,0.325,Benito Santiago,Marlins,369,1130
2002,0.324,Benito Santiago,Giants,517,1130
1991,0.309,Benito Santiago,Padres,614,1130
1993,0.298,Benito Santiago,Marlins,516,1130
2001,0.289,Benito Santiago,Giants,515,1130
1988,0.287,Benito Santiago,Padres,527,1130
1995,0.272,Benji Gil,Rangers,454,14
1914,0.465,Benny Kauff,Hoosiers,667,1006715
1915,0.456,Benny Kauff,Tip-Tops,581,1006715
1917,0.374,Benny Kauff,Giants,644,1006715
1916,0.366,Benny Kauff,Giants,632,1006715
1919,0.358,Benny Kauff,Giants,544,1006715
1941,0.361,Benny McCoy,Athletics,620,1008425
1940,0.335,Benny McCoy,Athletics,560,1008425
1914,0.390,Benny Meyer,Terrapins,593,1008819
1915,0.321,Benny Meyer,- - -,540,1008819
1996,0.405,Bernard Gilkey,Mets,656,1004706
1993,0.375,Bernard Gilkey,Cardinals,622,1004706
1995,0.369,Bernard Gilkey,Cardinals,531,1004706
1997,0.333,Bernard Gilkey,Mets,606,1004706
1994,0.315,Bernard Gilkey,Cardinals,431,1004706
1962,0.327,Bernie Allen,Twins,646,1000132
1923,0.389,Bernie Friberg,Cubs,617,1004347
1929,0.369,Bernie Friberg,Phillies,518,1004347
1924,0.350,Bernie Friberg,Cubs,587,1004347
1925,0.333,Bernie Friberg,- - -,519,1004347
1926,0.326,Bernie Friberg,Phillies,553,1004347
1923,0.327,Bernie Neis,Robins,491,1009493
1998,0.425,Bernie Williams,Yankees,578,857
1999,0.416,Bernie Williams,Yankees,697,857
1997,0.408,Bernie Williams,Yankees,591,857
2000,0.403,Bernie Williams,Yankees,616,857
2002,0.396,Bernie Williams,Yankees,699,857
1996,0.395,Bernie Williams,Yankees,641,857
2001,0.387,Bernie Williams,Yankees,633,857
1995,0.387,Bernie Williams,Yankees,648,857
1994,0.370,Bernie Williams,Yankees,475,857
2004,0.347,Bernie Williams,Yankees,651,857
2003,0.341,Bernie Williams,Yankees,521,857
1993,0.327,Bernie Williams,Yankees,628,857
2005,0.305,Bernie Williams,Yankees,546,857
1970,0.342,Bert Campaneris,Athletics,650,1001868
1974,0.330,Bert Campaneris,Athletics,587,1001868
1965,0.318,Bert Campaneris,Athletics,634,1001868
1968,0.316,Bert Campaneris,Athletics,707,1001868
1975,0.313,Bert Campaneris,Athletics,588,1001868
1966,0.301,Bert Campaneris,Athletics,606,1001868
1976,0.297,Bert Campaneris,Athletics,631,1001868
1977,0.296,Bert Campaneris,Rangers,648,1001868
1973,0.289,Bert Campaneris,Athletics,671,1001868
1967,0.285,Bert Campaneris,Athletics,649,1001868
1969,0.280,Bert Campaneris,Athletics,592,1001868
1971,0.279,Bert Campaneris,Athletics,609,1001868
1972,0.278,Bert Campaneris,Athletics,681,1001868
1911,0.365,Bert Daniels,Highlanders,547,1002967
1912,0.361,Bert Daniels,Highlanders,584,1002967
1947,0.337,Bert Haas,Reds,530,1005168
1946,0.313,Bert Haas,Reds,580,1005168
1942,0.307,Bert Haas,Reds,652,1005168
1896,0.311,Bert Myers,Browns,505,1009417
1916,0.314,Bert Niehoff,Phillies,611,1009581
1914,0.308,Bert Niehoff,Reds,534,1009581
1915,0.286,Bert Niehoff,Phillies,580,1009581
1911,0.277,Bert Tooley,Dodgers,491,1013119
1926,0.415,Bibb Falk,White Sox,657,1003911
1924,0.412,Bibb Falk,White Sox,594,1003911
1927,0.396,Bibb Falk,White Sox,613,1003911
1929,0.394,Bibb Falk,Indians,488,1003911
1925,0.355,Bibb Falk,White Sox,677,1003911
1922,0.352,Bibb Falk,White Sox,534,1003911
1921,0.337,Bibb Falk,White Sox,648,1003911
1894,0.403,Bid McPhee,Reds,569,1008675
1895,0.398,Bid McPhee,Reds,520,1008675
1893,0.386,Bid McPhee,Reds,589,1008675
1896,0.378,Bid McPhee,Reds,502,1008675
1892,0.366,Bid McPhee,Reds,664,1008675
1890,0.364,Bid McPhee,Reds,616,1008675
1887,0.359,Bid McPhee,Red Stockings,600,1008675
1886,0.349,Bid McPhee,Red Stockings,624,1008675
1891,0.349,Bid McPhee,Reds,638,1008675
1889,0.345,Bid McPhee,Red Stockings,604,1008675
1898,0.339,Bid McPhee,Reds,565,1008675
1884,0.318,Bid McPhee,Red Stockings,483,1008675
1888,0.310,Bid McPhee,Red Stockings,506,1008675
1885,0.293,Bid McPhee,Red Stockings,457,1008675
1883,0.282,Bid McPhee,Red Stockings,385,1008675
1882,0.256,Bid McPhee,Red Stockings,322,1008675
1909,0.316,Bill Abstein,Pirates,570,1000029
1981,0.329,Bill Almon,White Sox,377,1000174
1977,0.288,Bill Almon,Padres,670,1000174
1884,0.198,Bill Barnes,Apostles,30,1000558
1927,0.349,Bill Barrett,White Sox,634,1000592
1875,0.308,Bill Boyd,Atlantics,152,1001274
1873,0.287,Bill Boyd,Atlantics,230,1001274
1902,0.417,Bill Bradley,Bronchos,597,1001304
1903,0.390,Bill Bradley,Naps,587,1001304
1904,0.352,Bill Bradley,Naps,667,1001304
1901,0.347,Bill Bradley,Blues,551,1001304
1900,0.344,Bill Bradley,Orphans,483,1001304
1905,0.327,Bill Bradley,Naps,604,1001304
1908,0.302,Bill Bradley,Naps,650,1001304
1907,0.278,Bill Bradley,Naps,588,1001304
1936,0.345,Bill Brubaker,Pirates,620,1001571
1962,0.348,Bill Bruton,Tigers,633,1001600
1960,0.337,Bill Bruton,Braves,677,1001600
1959,0.328,Bill Bruton,Braves,522,1001600
1955,0.325,Bill Bruton,Braves,685,1001600
1954,0.325,Bill Bruton,Braves,619,1001600
1961,0.321,Bill Bruton,Tigers,668,1001600
1963,0.316,Bill Bruton,Tigers,594,1001600
1956,0.310,Bill Bruton,Braves,578,1001600
1953,0.294,Bill Bruton,Braves,668,1001600
1981,0.366,Bill Buckner,Cubs,453,1001625
1980,0.355,Bill Buckner,Cubs,615,1001625
1974,0.344,Bill Buckner,Dodgers,620,1001625
1982,0.344,Bill Buckner,Cubs,709,1001625
1985,0.337,Bill Buckner,Red Sox,719,1001625
1979,0.331,Bill Buckner,Cubs,628,1001625
1983,0.328,Bill Buckner,Cubs,665,1001625
1976,0.326,Bill Buckner,Dodgers,680,1001625
1986,0.319,Bill Buckner,Red Sox,681,1001625
1984,0.313,Bill Buckner,- - -,518,1001625
1973,0.291,Bill Buckner,Dodgers,606,1001625
1932,0.355,Bill Cissell,- - -,620,1002247
1929,0.318,Bill Cissell,White Sox,666,1002247
1930,0.304,Bill Cissell,White Sox,604,1002247
1928,0.298,Bill Cissell,White Sox,484,1002247
1910,0.299,Bill Collins,Doves,656,1002446
1902,0.363,Bill Coughlin,Senators,506,1002668
1901,0.333,Bill Coughlin,Senators,548,1002668
1905,0.306,Bill Coughlin,Tigers,550,1002668
1906,0.292,Bill Coughlin,Tigers,575,1002668
1904,0.288,Bill Coughlin,- - -,503,1002668
1907,0.286,Bill Coughlin,Tigers,585,1002668
1903,0.270,Bill Coughlin,Senators,490,1002668
1874,0.379,Bill Craver,Whites,269,1002736
1875,0.349,Bill Craver,- - -,331,1002736
1871,0.337,Bill Craver,Haymakers,121,1002736
1873,0.300,Bill Craver,Canaries,198,1002736
1872,0.291,Bill Craver,Canaries,184,1002736
1877,0.271,Bill Craver,Grays,243,1002736
1876,0.220,Bill Craver,Mutuals,248,1002736
1884,0.324,Bill Crowley,Beaneaters,440,1002826
1879,0.300,Bill Crowley,Bisons,267,1002826
1877,0.298,Bill Crowley,Grays,242,1002826
1880,0.294,Bill Crowley,Bisons,373,1002826
1885,0.276,Bill Crowley,Bisons,365,1002826
1881,0.276,Bill Crowley,Red Caps,293,1002826
1896,0.456,Bill Dahlen,Colts,573,1002924
1894,0.454,Bill Dahlen,Colts,581,1002924
1893,0.394,Bill Dahlen,Colts,548,1002924
1899,0.389,Bill Dahlen,Superbas,514,1002924
1898,0.383,Bill Dahlen,Orphans,619,1002924
1892,0.367,Bill Dahlen,Colts,631,1002924
1891,0.357,Bill Dahlen,Colts,623,1002924
1903,0.349,Bill Dahlen,Superbas,566,1002924
1900,0.349,Bill Dahlen,Superbas,565,1002924
1895,0.343,Bill Dahlen,Colts,592,1002924
1905,0.332,Bill Dahlen,Giants,601,1002924
1906,0.332,Bill Dahlen,Giants,565,1002924
1902,0.330,Bill Dahlen,Superbas,587,1002924
1904,0.320,Bill Dahlen,Giants,579,1002924
1901,0.318,Bill Dahlen,Superbas,553,1002924
1908,0.298,Bill Dahlen,Doves,588,1002924
